Nome,Ano de entrada em operação,Tensão (kV),Agente,OBJECTID,Longitude,Latitude,x,y
SE Abdon Batista,2014,525/230,ETSE - ETSE - EMPRESA DE TRANSMISSÃO SERRANA S.A,1,-51.07219306,-27.57180736,-51.072193056999936,-27.57180735999998
SE Abunã,-,230/138,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,2,-65.16752247,-9.71103552,-65.16752247399995,-9.71103551699997
SE Açailândia,2003,500,EATE - Empresa Amazonense de Transmissão de Energia S.A.,3,-47.403437,-4.91898605,-47.403437003999954,-4.918986052999969
SE Acaraú II,2010,230/69,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,4,-40.11407421,-2.92766239,-40.11407421499996,-2.9276623859999518
SE Açu II,-,230/138/69,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,5,-36.90839717,-5.59277794,-36.908397167999965,-5.592777938999973
SE Açu III,2017,500/230,ATEXVII - ATE XVII TRANSMISSORA DE ENERGIA SA,6,-37.02968156,-5.57882845,-37.02968156199995,-5.57882845499995
SE Adrianópolis,1970,500/345/138,FURNAS - Furnas Centrais Elétricas S.A.,7,-43.47633645,-22.66579527,-43.47633645199994,-22.665795267999954
SE Água Azul,2019,440/138,AGUA AZUL SPE - SUBESTACAO AGUA AZUL SPE S.A.,8,-46.40137444,-23.37504985,-46.40137443899994,-23.37504985499993
SE Água Vermelha,1978,500/440/138,AES TIETÊ - AES Tietê S.A.,9,-50.348877,-19.860901,-50.34887699999996,-19.860900998999966
SE Águas Lindas,1998,230/69,CELG - GT - CELG GERAÇÃO E TRANSMISSÃO S/A,10,-48.27570866,-15.76753517,-48.275708657999985,-15.767535169999974
SE Alegrete 2,-,230/69,CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,11,-55.72481046,-29.77749996,-55.72481045999996,-29.77749996199998
SE Altamira,-,230/69,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,12,-52.17962128,-3.13688171,-52.17962128399995,-3.1368817099999546
SE Anastácio,-,230/138,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,13,-55.84166709,-20.56760084,-55.841667092999955,-20.567600837999976
SE Andirá Leste,2019,230/138,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,14,-50.19299229,-23.07730931,-50.19299228899996,-23.07730930799994
SE Angelim,-,230/69,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,15,-36.29460629,-8.89344329,-36.29460629099998,-8.893443286999968
SE Angra dos Reis,-,500/138,FURNAS - Furnas Centrais Elétricas S.A.,16,-44.45594721,-23.00690292,-44.45594720799994,-23.00690291899997
SE Anhanguera,-,345/230/88,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,17,-46.76829923,-23.4931605,-46.76829922999997,-23.49316049899994
SE Aparecida,-,230/88,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,18,-45.2550133,-22.86910151,-45.25501330199995,-22.86910151099994
SE Apucarana,-,"230/138/34,5",COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,19,-51.44679836,-23.53451958,-51.44679835799997,-23.53451957599998
SE Aracati II,2010,"230/34,5",BONS VENTOS - BONS VENTOS GERADORA DE ENERGIA S.A.,20,-37.76327093,-4.48815009,-37.76327092699995,-4.488150091999955
SE Araçuaí 2,2007,230/138,TRANSIRAPÉ - COMPANHIA TRANSIRAPÉ DE TRANSMISSÃO,21,-42.02005542,-16.83429287,-42.02005541999995,-16.834292871999935
SE Arapiraca III,2013,230/69,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,22,-36.64958945,-9.78688035,-36.64958944699998,-9.786880349999933
SE Araraquara CTP,-,440/138,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,23,-48.26392,-21.782681,-48.263919999999985,-21.78268099899998
SE Araraquara FUR,1976,500,FURNAS - Furnas Centrais Elétricas S.A.,24,-48.25342601,-21.77400103,-48.253426014999945,-21.774001028999976
SE Araraquara 2,2012,500/440,ARARAQUARA - ARARAQUARA TRANSMISSORA DE ENERGIA S.A,25,-48.34966944,-21.83356413,-48.349669440999946,-21.83356413399997
SE Araras,2010,440/138,IEP - INTERLIGAÇÃO ELÉTRICA PINHEIROS S.A,26,-47.461887,-22.395742,-47.46188699999993,-22.395741998999938
SE Arcoverde II,2019,230/69,ARCOVERDE - ARCOVERDE TRANSMISSAO DE ENERGIA S.A.,27,-37.00373269,-8.49920029,-37.00373269499994,-8.499200293999934
SE Areia,1997,525/230/138,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,28,-51.600344,-25.969181,-51.60034399999995,-25.969180998999946
SE Ariquemes,-,230/69,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,29,-63.01232074,-9.92635945,-63.01232073999995,-9.926359451999929
SE Assis,-,500/440/230,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,30,-50.35067744,-22.66873485,-50.35067743999997,-22.66873484599995
SE Atibaia II,2013,345/138,IEP - INTERLIGAÇÃO ELÉTRICA PINHEIROS S.A,31,-46.55733825,-23.04707409,-46.557338253999944,-23.047074089999967
SE Atlântida 2,2007,230/69,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,32,-50.05462646,-29.78240967,-50.054626464999956,-29.782409666999968
SE Avaré Nova,2003,230,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,33,-48.932903,-23.06260683,-48.93290299599994,-23.06260683399995
SE Barão de Cocais 3,2005,230,CEMIG - Companhia Energética de Minas Gerais,34,-43.441603,-19.853037,-43.44160299999993,-19.853036998999983
SE Bagé 2,-,"230/69/23/13,8",CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica,35,-54.07140261,-31.28880287,-54.071402605999936,-31.28880286699996
SE Baixada Santista,-,345/230/138/88,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,36,-46.42041,-23.859619,-46.42040999999995,-23.859618998999963
SE UHE Balbina,1989,"230/13,8",-,37,-59.47998851,-1.91960684,-59.47998850699997,-1.9196068399999717
SE Balsas,2011,230/69,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,38,-46.01802629,-7.55938293,-46.01802628599995,-7.559382926999945
SE Banabuiú,-,230/69,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,39,-38.91214506,-5.30491768,-38.91214506199998,-5.304917677999981
SE Bandeirantes,-,"345/88/34,5",CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,40,-46.69224337,-23.59887274,-46.69224336899998,-23.59887274099998
SE Bandeirantes,1972,345/230,FURNAS - Furnas Centrais Elétricas S.A.,41,-49.23377755,-16.79311347,-49.233777550999946,-16.793113474999927
SE Barbacena 2,1963,"345/138/13,8",CEMIG - Companhia Energética de Minas Gerais,42,-43.75477339,-21.18575055,-43.75477339499997,-21.185750551999945
SE Barra do Peixe,-,230/138,ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,43,-52.61653602,-16.49557387,-52.616536019999955,-16.495573874999934
SE Barra Grande,2005,230,ETAU - EMPRESA DE TRANSMISSÃO DO ALTO DO URUGUAI S/A,44,-51.18445501,-27.76904745,-51.18445501299993,-27.769047446999934
SE Barreiras,-,230/138/69,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,45,-44.946594,-12.134399,-44.94659399999995,-12.134398999999974
SE Barreiras II,2017,500/230,ATEXVI - ATE XVI TRANSMISSORA DE ENERGIA SA,46,-44.8106105,-12.17187984,-44.81061049799996,-12.171879840999964
SE Barreiro 1,1964,345/138,CEMIG - Companhia Energética de Minas Gerais,47,-43.99137684,-20.0002707,-43.99137683699996,-20.000270703999945
SE Barro Alto,1982,230/69,FURNAS - Furnas Centrais Elétricas S.A.,48,-48.92546506,-15.11940065,-48.92546505599995,-15.119400651999968
SE Barro Branco,2013,345,FURNAS - Furnas Centrais Elétricas S.A.,49,-43.31799316,-20.43188476,-43.31799316399997,-20.43188476499995
SE Bateias,1999,525/230/138,COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A,50,-49.53264158,-25.41165169,-49.53264157899997,-25.41165168599997
SE Bauru,-,440/138,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,51,-49.096008,-22.282776,-49.09600799999998,-22.282775998999966
SE Biguaçu,2008,525/230/138,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,52,-48.733391,-27.485025,-48.73339099999998,-27.48502499899996
SE Blumenau,-,525/230/138,ELETROSUL - ELETROSUL Centrais Elétricas S.A.,53,-49.079214,-26.782302,-49.07921399999998,-26.78230199899997
SE Boa Esperança,-,500/230,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,54,-43.5639584,-6.72389015,-43.56395840399995,-6.723890152999957
SE Boa Vista,-,"230/69/13,8",ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A,55,-60.7172411,2.9420675,-60.717241102999935,2.9420674960000497
SE Bom Despacho 3,2004,500,CEMIG - Companhia Energética de Minas Gerais,56,-45.31068715,-19.79276048,-45.31068715499998,-19.792760484999974
SE Bom Jardim,-,"440/138/88/13,8",CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,57,-46.99019091,-23.15177538,-46.99019091099996,-23.15177538399996
SE Bom Jesus da Lapa II,2003,500/230,TAESA - TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A,58,-43.34340604,-13.30980403,-43.343406038999944,-13.309804027999974
SE Bom Jesus II,2017,230/69,SPEDRO - SAO PEDRO TRANSMISSORA DE ENERGIA S/A,59,-44.31174264,-9.1035703,-44.311742642999945,-9.103570300999934
SE Bom Nome,-,230/138/69,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,60,-38.62754114,-7.997264,-38.62754113799997,-7.997263997999937
SE Bongi,-,"230/69/13,8",CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,61,-34.9281225,-8.06349474,-34.928122504999976,-8.063494741999932
SE Botucatu,-,230/138,CTEEP - Companhia de Transmissão de Energia Elétrica Paulista,62,-48.437622,-22.9505,-48.437621999999976,-22.95049999899993
SE Brasília Geral,1960,"230/34,5",FURNAS - Furnas Centrais Elétricas S.A.,63,-47.95155162,-15.81254332,-47.95155161599996,-15.812543317999939
SE Brasília Leste,2017,500,VSBTE - VALE DO SAO BARTOLOMEU TRANSMISSORA DE ENERGIA S.A.,64,-47.70724246,-15.80962473,-47.70724245799994,-15.809624731999975
SE Brasilia Sul,1972,345/230/138,FURNAS - Furnas Centrais Elétricas S.A.,65,-48.06813669,-15.86248216,-48.068136686999935,-15.862482155999942
SE Brotas de Macaubas,2012,230,CHESF - CHESF - Companhia Hidro Elétrica do São Francisco,66,-42.34318352,-12.30847823,-42.34318351699994,-12.308478226999966
SE Brumado II,2002,230/138/69,AFLUENTE TRANSMISSÃO - Afluente Transmissão de Energia Elétrica SA,67,-41.63583333,-14.21361111,-41.63583333299994,-14.213611110999977
SE Imbirussú,2006,230/138,PORTO PRIMAVERA - Porto Primavera Transmissora de Energia S/A.,68,-54.7520149,-20.54726587,-54.752014903999964,-20.547265874999937
